circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
NALGONDA,NALGONDA,NAKREKAL,SHALIGOWRARAM,AKARAM,COTTAGE INDUSTRIES AND DHOBIGHATS,4,3,,0.0,9.75
NALGONDA,NALGONDA,NAKREKAL,SHALIGOWRARAM,CHITTALOOR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,5,4.0,429.0,5.24
NALGONDA,NALGONDA,NAKREKAL,SHALIGOWRARAM,GURAJALA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,54.0,2.25
NALGONDA,DEVARAKONDA,NAMPALLY,GURRAMPODU,KOPPOLE,COTTAGE INDUSTRIES AND DHOBIGHATS,4,5,4.0,-118.0,9.0
NALGONDA,DEVARAKONDA,NAMPALLY,GURRAMPODU,MULKALAPALLY,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,24.0,1.5
NALGONDA,DEVARAKONDA,NAMPALLY,GURRAMPODU,NADIKUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,2.0,127.0,1.5
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,KANDUKUR,KOTHUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,KANDUKUR,KOTTAGUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,KANDUKUR,LEMOUR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,1.5
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,KANDUKUR,MAHAMAD NAGAR,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
RAJENDRA NAGAR,RAJENDRA NAGAR,RAJENDRANAGAR,RAJENDERNAGAR,BUDWEL,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,2.25
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,KANDUKUR,N T R THANDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,2,,0.0,7.5
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,KANDUKUR,PULIMAMIDI,COTTAGE INDUSTRIES AND DHOBIGHATS,4,6,,0.0,22.5
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,KANDUKUR,SARASWATHI GUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,,0.0,3.75
RAJENDRA NAGAR,RAJENDRA NAGAR,SHAMSHABAD,SHAMSHABAD,BAHADUR  GUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,4,1.0,0.0,15.0
RAJENDRA NAGAR,RAJENDRA NAGAR,SHAMSHABAD,SHAMSHABAD,KOTHWALGUDA,COTTAGE INDUSTRIES AND DHOBIGHATS,4,1,1.0,0.0,3.75
