District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,Ichoda,2024-04-15,0.0,4.7
Adilabad,Ichoda,2024-04-16,0.0,3.4
Adilabad,Ichoda,2024-04-17,0.0,10.1
Adilabad,Ichoda,2024-04-18,0.0,5.5
Adilabad,Ichoda,2024-04-19,0.0,14.0
Adilabad,Ichoda,2024-04-20,0.0,7.5
Adilabad,Ichoda,2024-04-21,0.0,10.8
Adilabad,Ichoda,2024-04-22,0.0,4.9
Adilabad,Ichoda,2024-04-23,0.0,7.1
Adilabad,Ichoda,2024-04-24,0.0,5.1
Adilabad,Ichoda,2024-04-25,0.0,3.3
Adilabad,Ichoda,2024-04-26,0.0,7.0
Adilabad,Ichoda,2024-04-27,0.0,5.9
Adilabad,Ichoda,2024-04-28,0.0,8.9
Adilabad,Ichoda,2024-04-29,0.0,5.3
Adilabad,Ichoda,2024-04-30,0.0,2.7
Adilabad,Inderavelly,2024-04-01,0.0,14.6
Adilabad,Inderavelly,2024-04-02,0.0,14.5
Adilabad,Inderavelly,2024-04-03,0.0,10.0
Adilabad,Inderavelly,2024-04-04,0.0,14.6
Adilabad,Inderavelly,2024-04-05,0.0,12.7
Adilabad,Inderavelly,2024-04-06,0.0,12.7
Adilabad,Inderavelly,2024-04-07,0.0,13.3
Adilabad,Inderavelly,2024-04-08,3.2,23.0
Adilabad,Inderavelly,2024-04-09,0.0,13.6
Adilabad,Inderavelly,2024-04-10,0.0,17.5
Adilabad,Inderavelly,2024-04-11,0.5,26.8
Adilabad,Inderavelly,2024-04-12,0.0,18.4
Adilabad,Inderavelly,2024-04-13,0.0,10.8
Adilabad,Inderavelly,2024-04-14,0.0,10.6
Adilabad,Inderavelly,2024-04-15,0.0,8.4
Adilabad,Inderavelly,2024-04-16,0.3,9.9
Adilabad,Inderavelly,2024-04-17,0.0,13.6
Adilabad,Inderavelly,2024-04-18,0.0,12.8
Adilabad,Inderavelly,2024-04-19,0.0,14.2
Adilabad,Inderavelly,2024-04-20,0.0,13.3
Adilabad,Inderavelly,2024-04-21,0.0,15.7
Adilabad,Inderavelly,2024-04-22,0.0,15.3
Adilabad,Inderavelly,2024-04-23,0.0,18.1
Adilabad,Inderavelly,2024-04-24,0.8,24.9
Adilabad,Inderavelly,2024-04-25,0.3,14.5
Adilabad,Inderavelly,2024-04-26,0.7,14.2
Adilabad,Inderavelly,2024-04-27,0.1,19.6
Adilabad,Inderavelly,2024-04-28,0.0,14.9
Adilabad,Inderavelly,2024-04-29,0.0,14.7
Adilabad,Inderavelly,2024-04-30,0.9,12.3
Adilabad,Jainad,2024-04-01,0.0,7.7
Adilabad,Jainad,2024-04-02,0.0,9.0
Adilabad,Jainad,2024-04-03,0.0,5.7
Adilabad,Jainad,2024-04-04,0.0,7.8
Adilabad,Jainad,2024-04-05,0.0,10.8
Adilabad,Jainad,2024-04-06,0.0,13.0
Adilabad,Jainad,2024-04-07,0.0,8.4
Adilabad,Jainad,2024-04-08,2.1,14.3
Adilabad,Jainad,2024-04-09,0.0,8.8
Adilabad,Jainad,2024-04-10,3.6,13.1
Adilabad,Jainad,2024-04-11,1.6,11.8
Adilabad,Jainad,2024-04-12,0.0,12.6
Adilabad,Jainad,2024-04-13,0.0,12.1
Adilabad,Jainad,2024-04-14,0.0,8.2
Adilabad,Jainad,2024-04-15,0.0,9.0
Adilabad,Jainad,2024-04-16,0.0,7.2
Adilabad,Jainad,2024-04-17,0.0,6.5
Adilabad,Jainad,2024-04-18,0.0,6.0
Adilabad,Jainad,2024-04-19,0.0,10.2
Adilabad,Jainad,2024-04-20,0.0,10.9
Adilabad,Jainad,2024-04-21,0.0,12.8
Adilabad,Jainad,2024-04-22,0.0,12.6
Adilabad,Jainad,2024-04-23,0.0,19.0
Adilabad,Jainad,2024-04-24,0.0,13.9
Adilabad,Jainad,2024-04-25,0.0,6.3
Adilabad,Jainad,2024-04-26,0.0,4.7
Adilabad,Jainad,2024-04-27,0.0,9.5
Adilabad,Jainad,2024-04-28,0.0,10.7
Adilabad,Jainad,2024-04-29,0.0,6.2
Adilabad,Jainad,2024-04-30,0.0,10.4
Adilabad,Mavala,2024-04-01,0.0,4.9
Adilabad,Mavala,2024-04-02,0.0,5.3
Adilabad,Mavala,2024-04-03,0.0,3.9
Adilabad,Mavala,2024-04-04,0.0,4.8
Adilabad,Mavala,2024-04-05,0.0,6.2
Adilabad,Mavala,2024-04-06,0.0,7.9
Adilabad,Mavala,2024-04-07,0.0,6.2
Adilabad,Mavala,2024-04-08,0.0,8.8
Adilabad,Mavala,2024-04-09,0.0,6.5
Adilabad,Mavala,2024-04-10,0.0,10.3
Adilabad,Mavala,2024-04-11,0.0,8.1
Adilabad,Mavala,2024-04-12,0.0,8.2
Adilabad,Mavala,2024-04-13,0.0,7.5
