District,Mandal,Date,Min Wind Speed (Kmph),Max Wind Speed (Kmph),Min Wind Speed (Kmph)_outlier_flag,Max Wind Speed (Kmph)_outlier_flag
Jangaon,Chilpur,2024-04-17,0.0,8.0,False,False
Jangaon,Chilpur,2024-04-18,0.0,9.6,False,False
Jangaon,Chilpur,2024-04-19,0.0,6.5,False,False
Jangaon,Chilpur,2024-04-20,0.0,10.2,False,False
Jangaon,Chilpur,2024-04-21,0.0,14.3,False,False
Jangaon,Chilpur,2024-04-22,0.0,7.7,False,False
Jangaon,Chilpur,2024-04-23,0.0,13.8,False,False
Jangaon,Chilpur,2024-04-24,0.0,13.2,False,False
Jangaon,Chilpur,2024-04-25,0.0,9.0,False,False
Jangaon,Chilpur,2024-04-26,0.0,9.4,False,False
Jangaon,Chilpur,2024-04-27,0.0,14.8,False,False
Jangaon,Chilpur,2024-04-28,0.0,12.1,False,False
Jangaon,Chilpur,2024-04-29,0.0,7.7,False,False
Jangaon,Chilpur,2024-04-30,0.0,12.5,False,False
Jangaon,Devaruppala,2024-04-01,0.0,7.7,False,False
Jangaon,Devaruppala,2024-04-02,0.0,7.9,False,False
Jangaon,Devaruppala,2024-04-03,0.0,6.4,False,False
Jangaon,Devaruppala,2024-04-04,0.0,7.1,False,False
Jangaon,Devaruppala,2024-04-05,0.0,12.1,False,False
Jangaon,Devaruppala,2024-04-06,0.0,8.7,False,False
Jangaon,Devaruppala,2024-04-07,0.0,7.8,False,False
Jangaon,Devaruppala,2024-04-08,0.0,9.8,False,False
Jangaon,Devaruppala,2024-04-09,4.5,13.3,True,False
Jangaon,Devaruppala,2024-04-10,0.0,9.0,False,False
Jangaon,Devaruppala,2024-04-11,0.0,10.9,False,False
Jangaon,Devaruppala,2024-04-12,2.6,9.7,True,False
Jangaon,Devaruppala,2024-04-13,2.7,11.5,True,False
Jangaon,Devaruppala,2024-04-14,0.0,10.9,False,False
Jangaon,Devaruppala,2024-04-15,0.0,12.1,False,False
Jangaon,Devaruppala,2024-04-16,0.0,10.8,False,False
Jangaon,Devaruppala,2024-04-17,0.0,10.2,False,False
Jangaon,Devaruppala,2024-04-18,0.0,12.5,False,False
Jangaon,Devaruppala,2024-04-19,0.0,7.6,False,False
Jangaon,Devaruppala,2024-04-20,0.0,9.2,False,False
Jangaon,Devaruppala,2024-04-21,0.0,9.0,False,False
Jangaon,Devaruppala,2024-04-22,0.0,15.9,False,False
Jangaon,Devaruppala,2024-04-23,0.0,13.7,False,False
Jangaon,Devaruppala,2024-04-24,0.0,9.0,False,False
Jangaon,Devaruppala,2024-04-25,0.0,8.2,False,False
Jangaon,Devaruppala,2024-04-26,0.0,9.9,False,False
Jangaon,Devaruppala,2024-04-27,0.0,7.7,False,False
Jangaon,Devaruppala,2024-04-28,0.0,7.9,False,False
Jangaon,Devaruppala,2024-04-29,0.0,9.1,False,False
Jangaon,Devaruppala,2024-04-30,0.0,10.8,False,False
